item_id,object_label,view,path,filename,bytes,codec,pixel_format,width,height,rotation_degrees,fps,duration_seconds,frame_count
item_001,储物柜,interaction,item_001/item_001_储物柜交互视频.MOV,item_001_储物柜交互视频.MOV,10937921,h264,yuv420p,1920,1080,-90,59.945750452079565,3.686667,221
item_001,储物柜,appearance,item_001/item_001_储物柜外观视频.MOV,item_001_储物柜外观视频.MOV,30624376,hevc,yuv420p10le,1920,1080,90,29.986929731748305,26.778333,803
item_002,果汁箱+果汁,interaction,item_002/item_002_果汁箱+果汁交互视频.MOV,item_002_果汁箱+果汁交互视频.MOV,30093207,h264,yuv420p,1920,1080,0,59.97036061254734,10.121667,607
item_002,果汁箱+果汁,appearance,item_002/item_002_果汁箱+果汁外观视频-1.MOV,item_002_果汁箱+果汁外观视频-1.MOV,23528496,h264,yuv420p,1920,1080,0,59.974747474747474,7.918333,475
item_002,果汁箱+果汁,appearance,item_002/item_002_果汁箱+果汁外观视频-2.MOV,item_002_果汁箱+果汁外观视频-2.MOV,27683635,h264,yuv420p,1920,1080,0,59.96787435302517,9.338333,560
item_003,储物边柜,interaction,item_003/item_003_储物边柜交互视频.MOV,item_003_储物边柜交互视频.MOV,61227586,h264,yuv420p,1920,1080,0,59.94137762579385,20.468333,1227
item_003,储物边柜,appearance,item_003/item_003_储物边柜外观视频.MOV,item_003_储物边柜外观视频.MOV,142589217,h264,yuv420p,1920,1080,0,59.9433507011225,47.661667,2857
item_004,转椅,interaction,item_004/item_004_转椅交互视频.mp4,item_004_转椅交互视频.mp4,2316399,hevc,yuv420p,720,1280,0,30.0,10.866667,326
item_004,转椅,appearance,item_004/item_004_转椅外观视频.mp4,item_004_转椅外观视频.mp4,2467064,hevc,yuv420p,720,1280,0,30.0,13.133333,394
item_005,落地灯,interaction,item_005/item_005_落地灯交互视频.MOV,item_005_落地灯交互视频.MOV,17499519,h264,yuv420p,1920,1080,-90,59.93189557321226,5.873333,352
item_005,落地灯,appearance,item_005/item_005_落地灯外观视频.MOV,item_005_落地灯外观视频.MOV,61953065,h264,yuv420p,1920,1080,-90,59.927739863508634,20.756667,1244
item_006,L形靠背沙发,interaction,item_006/item_006_L形靠背沙发交互视频.MOV,item_006_L形靠背沙发交互视频.MOV,16117672,h264,yuv420p,1920,1080,0,59.92578849721707,5.388333,323
item_006,L形靠背沙发,appearance,item_006/item_006_L形靠背沙发外观视频.MOV,item_006_L形靠背沙发外观视频.MOV,107404542,h264,yuv420p,1920,1080,0,59.92773093671824,35.976667,2156
item_007,单人椅,interaction,item_007/item_007_单人椅交互视频.MOV,item_007_单人椅交互视频.MOV,17479343,h264,yuv420p,1920,1080,0,59.966024915062285,5.885,353
item_007,单人椅,appearance,item_007/item_007_单人椅外观视频.MOV,item_007_单人椅外观视频.MOV,62204514,h264,yuv420p,1920,1080,0,59.92831541218638,20.923333,1254
