# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 72, mean track length: 2
1 -7.2083904208247418 2.6914496128292345 35.617218926371685 32 26 14 0.24504072867478172 26 1 27 2
2 -3.611256617533102 3.2543317093984028 35.978125068901605 91 88 81 0.76204538412392764 26 64 27 4
3 -3.0854254476495342 3.4403969137024446 36.04042028956983 198 175 161 0.55918615534027438 26 4 27 5
4 -3.4774358999023751 3.4650182076097633 36.006364053476638 107 100 88 0.38485503454124581 26 5 27 6
5 -2.7086343885005109 3.8684833934193237 35.994046441419492 89 74 58 0.33747263490222468 26 66 27 9
6 -2.8630028434955919 4.2507137617559474 35.943318268908918 84 71 59 0.4283549851477691 26 20 27 12
7 -2.8574589811098741 4.3295796939917599 35.933483549811932 94 82 71 0.43035808702692624 26 21 27 13
8 -3.424734184331109 5.2124450742930142 37.248439542607507 155 148 135 0.32460226639284173 26 115 27 18
9 -3.1067033838918201 5.2685884231666584 35.624097875471811 103 86 70 0.91784856471185361 26 28 27 23
10 -3.8113999086935761 5.4504502594232456 35.781030384486243 32 23 14 0.31977172213990079 26 29 27 24
11 -8.051824043939666 6.0306256812452537 34.716530048837988 128 124 121 0.62610867111124135 26 41 27 30
12 -2.0866763356661351 6.2572506752287227 36.670036481542169 180 140 121 2.4054356484233255 26 42 27 32
13 -3.3118111781723432 6.7027999174355948 36.946863199575887 163 129 111 2.6712215018145797 26 75 27 37
14 -3.6089058337089415 7.0621040882356736 37.136069412034999 14 0 0 0.34469445351735384 26 51 27 43
15 -3.1671862542044682 7.0250133031928463 37.086127154630923 171 132 124 0.30332035053063372 26 52 27 46
16 -3.7045500463034897 2.7055511461985282 35.946521470502411 124 120 108 1.0476252946114095 26 61 27 49
17 -3.7045500463034897 2.7055511461985282 35.946521470502411 124 120 108 1.0476252946114095 26 62 27 50
18 -3.2667848630977985 3.4738736780684576 36.012984507283555 140 123 107 0.26293739882036055 26 65 27 54
19 -3.0137016273638126 3.8126406405068503 35.980259537337226 132 114 101 0.99387540477448988 26 8 27 57
20 -2.5228148535375072 4.3240034055855521 35.946537486423566 112 94 80 0.91557386448528844 26 95 27 59
21 -3.0123274156372903 5.0209339720436938 35.335510021128997 116 97 77 0.62185378253610679 26 98 27 62
22 -3.7632852968545483 5.3920155553511027 35.796932871959029 112 106 94 0.21864505817804147 26 70 27 63
23 -6.9912597027938723 5.5063734782852505 35.122660329587184 75 73 74 0.32148919266904097 26 35 27 64
24 -2.3974372841946452 6.0776469418977044 36.782307560124039 221 206 201 1.4389443221181293 26 71 27 65
25 -3.2563381959469235 6.4168736899524008 36.725402739114102 56 52 49 2.5819294527180805 26 140 27 66
26 -1.799874194974991 6.1425522664338521 36.541005418878242 177 136 130 1.398602623088248 26 76 27 69
27 -7.8961665808708794 6.2977671396680019 34.690743009378139 115 111 108 0.28985074008054629 26 79 27 72
28 -6.9912285189140411 6.7281326573712601 34.809248239297318 42 40 39 0.49266915593851585 26 82 27 75
29 -3.1843569576425836 7.0009846694055238 37.061093599364803 97 47 38 0.61868596933670839 26 109 27 76
30 -3.1306862475704076 7.0881348344699591 36.939670248183916 167 142 137 0.43657309293427493 26 57 27 77
31 -6.9800394174840266 2.4906618093834867 35.779815942938917 39 32 24 0.054546963326461445 26 60 27 78
32 -7.3232601305699818 2.7685489535042085 35.574869849924404 78 71 61 0.1333039081837836 26 84 27 79
33 -7.3232601305699818 2.7685489535042085 35.574869849924404 78 71 61 0.1333039081837836 26 85 27 80
34 -3.3331920215363136 3.3023517395075008 36.03942936971584 181 163 149 0.58104512691053312 26 86 27 81
35 -3.1520189044440943 3.6389814432983458 35.982153145783379 136 117 102 0.19605662925328282 26 88 27 82
36 -2.8221375278668672 4.0333098263896447 35.988136272985891 160 143 127 0.40275306162218749 26 67 27 84
37 -2.8024296531680837 4.1341178856094309 35.944588826366754 149 130 115 0.40828627509543758 26 92 27 86
38 -2.3981773597676783 4.2228853090255072 35.93024067112745 142 125 111 0.88410724963796006 26 94 27 88
39 -2.7901542826204975 4.2837259294701706 35.98628989498787 142 121 103 3.0389995832694332 26 93 27 89
40 -2.8390088180279842 4.8694556719514361 35.860828165012443 231 219 213 0.84542120049094815 26 68 27 90
41 -3.5899415116111455 5.194006644649928 35.788454849934936 143 128 116 0.21128848693930979 26 96 27 91
42 -3.7863274780577023 5.3108487612338129 35.786144375202603 40 33 23 0.38663616955573599 26 99 27 92
43 -3.135608571080164 6.9548799506897891 37.194868197425656 160 104 87 1.3346178172445784 26 133 27 99
44 -7.3140035217643486 2.7984826126313376 35.563630342339941 74 68 58 0.39693596607492998 26 112 27 101
